"","endoBYo","AveExpr","F","P.Value","adj.P.Val"
"Gm18246",2.38924400917302,0.246273961198819,76.3591225978517,1.29915994524731e-09,1.46639364636256e-07
"Casp12",1.63993946373047,0.559438689265601,75.8905641692312,1.38686904896883e-09,1.55744690204759e-07
"Gm12868",3.21336777295507,0.733810750466574,75.7209156521558,1.42016904270382e-09,1.58678786523922e-07
"Zfp979",1.9074762727398,0.300884162916104,75.256373734542,1.51580656952611e-09,1.68513511244353e-07
"Gimap5",3.88308687148083,1.41232302673141,74.8161813943587,1.61280745101256e-09,1.78400696193754e-07
"Gm48609",2.33737627056701,1.61292831853745,74.7561089475314,1.62655149642983e-09,1.79025864455309e-07
"Irx3",2.35044363157289,0.358804360104198,74.5472884456886,1.67531062038221e-09,1.83479687399583e-07
"Slc2a1",4.26497008353607,2.85170278176184,74.3477279568909,1.72337045812543e-09,1.87813421897088e-07
"Marveld2",4.16346181005385,1.1275576220947,74.1891145240347,1.76262043135571e-09,1.9086382507462e-07
"Tmem151b",-4.32816475630174,2.0988083130732,74.1652200665608,1.7686156552139e-09,1.9086382507462e-07
"Cacnb3",-4.52193862061919,2.52021641262323,73.4370119857691,1.96219788376243e-09,2.10726717390661e-07
"Rasip1",4.73383285765173,1.36609315685419,73.2088862704304,2.02740878857987e-09,2.16509824101147e-07
"Csrp2",5.92263470489439,1.9661797832862,73.1807152408966,2.0356210013578e-09,2.16509824101147e-07
"Galnt15",2.63030546497628,0.417729735886455,72.8909447914353,2.12218793628217e-09,2.2463714695871e-07
"Col4a2",5.17557390802631,1.19094438848963,72.8425946838115,2.13701148697538e-09,2.25129072030268e-07
"Pik3r2",-3.93180299369434,4.52336081324106,72.0048281342571,2.41223736438893e-09,2.52919086314579e-07
"T",1.35859530782968,0.173451811580207,71.711292916757,2.51744317986935e-09,2.62704695604952e-07
"Gm19590",3.72143498110962,0.690081566346134,71.5781953288687,2.56675388555573e-09,2.66592939953753e-07
"Arhgap29",5.24237938085876,1.89516413585384,71.4173129586055,2.62774129596678e-09,2.7039230389198e-07
"Sox18",6.23278331159635,1.60739539250325,71.4172158527352,2.62777857147655e-09,2.7039230389198e-07
"Mecom",1.35907852660498,0.191922953814766,70.9074227935822,2.83148924562518e-09,2.90004798985953e-07
"Bcl6b",5.6087415950588,1.62731587254639,70.406541165156,3.0481666419712e-09,3.10758482121331e-07
"Fzd6",5.42851616537189,1.0416618494706,70.3444145038633,3.07625414490834e-09,3.12183350678014e-07
"Rnf5",-3.80864046485244,5.9752386374127,69.9512857448654,3.26053026228458e-09,3.29373109554894e-07
"Dact3",-4.90732699815529,2.8383354101387,69.9053095860157,3.28284028766087e-09,3.30119434926916e-07
"Kif21b",-5.25579645439625,3.60420607461324,69.5018432598394,3.48577237097508e-09,3.489400097877e-07
"Sectm1a",1.40222367231721,0.197003235216649,69.3821626884235,3.54851741532385e-09,3.53620949455899e-07
"Ccm2l",4.501303200723,1.31069433459172,68.4653547501682,4.07117657800307e-09,4.03886275494e-07
"Podxl",5.23429237574483,1.25258173476038,68.3725345817257,4.12850910228033e-09,4.07745566382803e-07
"Zic3",4.67259737030431,0.920187460052933,68.1720397627182,4.25531738979547e-09,4.17861506429641e-07
"Acnat1",1.48562494618932,0.190402191257046,68.1512368293899,4.26871131641726e-09,4.17861506429641e-07
"Gm44226",2.88610782855846,0.423623313051148,68.1049423925619,4.29867997138549e-09,4.18941396506437e-07
"Akap12",3.82701642997929,1.33507762205314,67.6770093677506,4.58659790323031e-09,4.45040813215632e-07
"Cgnl1",3.75209656267547,0.98351044252059,67.3641352532663,4.81012642182866e-09,4.64691820218845e-07
"1700018A04Rik",1.44243122890093,0.18946514274489,67.2507462324371,4.89398798334493e-09,4.70737809371913e-07
"Hist1h2al",-5.71404836603977,2.38954567122972,66.8506895959134,5.20258311106098e-09,4.98254312406935e-07
